# currency: EUR
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source,Trend,Trend Source
A Bit off the Side,Omens of the Third Age,normal,OMN243,1.9,low,,,,,,,2.67,trend
Aethersling,Omens of the Third Age,normal,OMN134,0.02,low,,,,,,,0.35,trend
Aphrodias,Omens of the Third Age,normal,OMN003,0.02,low,,,,,,,0.17,trend
Arc Ramp,Omens of the Third Age,normal,,0.02,low,,,,,,,0.22,trend
Arc Ramp (Red),Omens of the Third Age,normal,OMN100,0.02,low,,,,,,,0.23,trend
Arc Ramp (Yellow),Omens of the Third Age,normal,OMN101,0.02,low,,,,,,,0.03,trend
Arcanic Cunning (Blue),Omens of the Third Age,normal,OMN090,0.02,low,,,,,,,0.14,trend
Arcanic Cunning (Red),Omens of the Third Age,normal,OMN088,0.02,low,,,,,,,0.18,trend
Arcanic Cunning (Yellow),Omens of the Third Age,normal,OMN089,0.02,low,,,,,,,0.18,trend
Arcanic Reproach,Omens of the Third Age,normal,OMN052,0.45,low,,,,,,,0.58,trend
Arcbane Grasp,Omens of the Third Age,normal,OMN236,0.1,low,,,,,,,0.48,trend
Astral Assault (Blue),Omens of the Third Age,normal,OMN162,0.02,low,,,,,,,0.08,trend
Astral Assault (Red),Omens of the Third Age,normal,OMN160,0.02,low,,,,,,,0.12,trend
Astral Assault (Yellow),Omens of the Third Age,normal,OMN161,0.02,low,,,,,,,0.05,trend
Astral Bridge,Omens of the Third Age,normal,OMN098,1,low,,,,,,,3.49,trend
Astral Strike,Omens of the Third Age,normal,OMN145,1.25,low,,,,,,,2.63,trend
Auric Shards (Blue),Omens of the Third Age,normal,OMN029,0.02,low,,,,,,,0.02,trend
Auric Shards (Red),Omens of the Third Age,normal,OMN027,0.02,low,,,,,,,0.03,trend
Auric Shards (Yellow),Omens of the Third Age,normal,OMN028,0.02,low,,,,,,,0.02,trend
"Aurora, Emissary of Lightning",Omens of the Third Age,normal,OMN048,0.02,low,,,,,,,0.15,trend
"Aurora, Legacy of Tempest",Omens of the Third Age,normal,OMN047,0.02,low,,,,,,,0.32,trend
"Baalghor, Omen of the End",Omens of the Third Age,normal,,1500,low,,,,,,,1480,trend
Beckon Steel,Omens of the Third Age,normal,OMN238,4.5,low,,,,,,,5.76,trend
Beckoning Brilliance,Omens of the Third Age,normal,OMN148,0.02,low,,,,,,,0.03,trend
Blessing of Aegis,Omens of the Third Age,normal,OMN244,0.46,low,,,,,,,0.79,trend
Blink of an Eye,Omens of the Third Age,normal,OMN006,0.02,low,,,,,,,0.13,trend
Boots of Astral Sanctuary,Omens of the Third Age,normal,OMN212,0.02,low,,,,,,,0.65,trend
Boots of Omnis Ward,Omens of the Third Age,normal,,78.95,low,,,,,,,94.41,trend
Browbeat,Omens of the Third Age,normal,OMN213,0.4,low,,,,,,,1.16,trend
Brush Off (Blue),Omens of the Third Age,normal,OMN224,0.02,low,,,,,,,0.02,trend
Brush Off (Red),Omens of the Third Age,normal,OMN222,0.02,low,,,,,,,0.02,trend
Brush Off (Yellow),Omens of the Third Age,normal,OMN223,0.02,low,,,,,,,0.02,trend
Calmveil of Volthaven (Blue),Omens of the Third Age,normal,OMN186,0.02,low,,,,,,,0.29,trend
Calmveil of Volthaven (Red),Omens of the Third Age,normal,OMN184,0.02,low,,,,,,,0.02,trend
Calmveil of Volthaven (Yellow),Omens of the Third Age,normal,OMN185,0.02,low,,,,,,,0.02,trend
Caress of the Reaper,Omens of the Third Age,normal,OMN087,0.7,low,,,,,,,1.16,trend
Chromatic Refinement (Blue),Omens of the Third Age,normal,OMN195,0.02,low,,,,,,,0.11,trend
Chromatic Refinement (Red),Omens of the Third Age,normal,OMN193,0.02,low,,,,,,,0.18,trend
Chromatic Refinement (Yellow),Omens of the Third Age,normal,OMN194,0.02,low,,,,,,,0.04,trend
Circular Flowtide,Omens of the Third Age,normal,OMN033,0.02,low,,,,,,,0.35,trend
Clear Conscience (Blue),Omens of the Third Age,normal,OMN043,0.02,low,,,,,,,0.3,trend
Clear Conscience (Red),Omens of the Third Age,normal,OMN041,0.02,low,,,,,,,0.28,trend
Clear Conscience (Yellow),Omens of the Third Age,normal,OMN042,0.02,low,,,,,,,0.06,trend
Comet Collision (Blue),Omens of the Third Age,normal,OMN111,0.02,low,,,,,,,0.27,trend
Comet Collision (Red),Omens of the Third Age,normal,OMN109,0.02,low,,,,,,,0.11,trend
Comet Collision (Yellow),Omens of the Third Age,normal,OMN110,0.02,low,,,,,,,0.06,trend
Conflicting Thoughts (Blue),Omens of the Third Age,normal,OMN221,0.02,low,,,,,,,0.11,trend
Conflicting Thoughts (Red),Omens of the Third Age,normal,OMN219,0.02,low,,,,,,,0.07,trend
Conflicting Thoughts (Yellow),Omens of the Third Age,normal,OMN220,0.02,low,,,,,,,0.11,trend
Constella Contemplation,Omens of the Third Age,normal,OMN130,0.02,low,,,,,,,0.34,trend
Constella Flowslide,Omens of the Third Age,normal,OMN131,0.02,low,,,,,,,0.14,trend
Constella Tiara,Omens of the Third Age,normal,OMN142,0.02,low,,,,,,,0.13,trend
Constella Uplift,Omens of the Third Age,normal,OMN132,0.02,low,,,,,,,0.14,trend
Constella Waves,Omens of the Third Age,normal,OMN097,0.02,low,,,,,,,0.12,trend
Core Reaction (Blue),Omens of the Third Age,normal,OMN105,0.02,low,,,,,,,0.05,trend
Core Reaction (Red),Omens of the Third Age,normal,OMN103,0.02,low,,,,,,,0.25,trend
Core Reaction (Yellow),Omens of the Third Age,normal,OMN104,0.02,low,,,,,,,0.02,trend
Corrosive Space Dust (Blue),Omens of the Third Age,normal,OMN014,0.02,low,,,,,,,0.22,trend
Corrosive Space Dust (Red),Omens of the Third Age,normal,OMN012,0.02,low,,,,,,,0.15,trend
Corrosive Space Dust (Yellow),Omens of the Third Age,normal,OMN013,0.02,low,,,,,,,0.26,trend
Cosmic Duality (Blue),Omens of the Third Age,normal,OMN017,0.02,low,,,,,,,0.14,trend
Cosmic Duality (Red),Omens of the Third Age,normal,OMN015,0.02,low,,,,,,,0.05,trend
Cosmic Duality (Yellow),Omens of the Third Age,normal,OMN016,0.02,low,,,,,,,0.11,trend
Cosmic Flare,Omens of the Third Age,normal,OMN187,0.02,low,,,,,,,0.17,trend
Cosmic Suture (Blue),Omens of the Third Age,normal,OMN129,0.02,low,,,,,,,0.19,trend
Cosmic Suture (Red),Omens of the Third Age,normal,OMN127,0.02,low,,,,,,,0.11,trend
Cosmic Suture (Yellow),Omens of the Third Age,normal,OMN128,0.02,low,,,,,,,0.14,trend
Cracked Bauble,Omens of the Third Age,normal,OMN226,0.02,low,,,,,,,0.18,trend
Crackle from Afar,Omens of the Third Age,normal,OMN036,0.02,low,,,,,,,0.14,trend
Crash Site Salvage,Omens of the Third Age,normal,OMN239,0.95,low,,,,,,,2.12,trend
Dashing Flashfoot,Omens of the Third Age,normal,OMN053,0.02,low,,,,,,,0.14,trend
Destructive Fleetfoot (Blue),Omens of the Third Age,normal,OMN064,0.02,low,,,,,,,0.02,trend
Destructive Fleetfoot (Red),Omens of the Third Age,normal,OMN062,0.02,low,,,,,,,0.07,trend
Destructive Fleetfoot (Yellow),Omens of the Third Age,normal,OMN063,0.02,low,,,,,,,0.09,trend
Draco Fire,Omens of the Third Age,normal,OMN245,9.5,low,,,,,,,12.72,trend
Ebbing Arcstride (Blue),Omens of the Third Age,normal,OMN020,0.02,low,,,,,,,0.13,trend
Ebbing Arcstride (Red),Omens of the Third Age,normal,OMN018,0.02,low,,,,,,,0.15,trend
Ebbing Arcstride (Yellow),Omens of the Third Age,normal,OMN019,0.02,low,,,,,,,0.35,trend
Echoflash,Omens of the Third Age,normal,OMN099,2,low,,,,,,,5.2,trend
Electrolyze (Blue),Omens of the Third Age,normal,OMN165,0.02,low,,,,,,,0.05,trend
Electrolyze (Red),Omens of the Third Age,normal,OMN163,0.02,low,,,,,,,0.07,trend
Electrolyze (Yellow),Omens of the Third Age,normal,OMN164,0.02,low,,,,,,,0.05,trend
Electryn Joltstep (Blue),Omens of the Third Age,normal,OMN082,0.02,low,,,,,,,0.11,trend
Electryn Joltstep (Red),Omens of the Third Age,normal,OMN080,0.02,low,,,,,,,0.09,trend
Electryn Joltstep (Yellow),Omens of the Third Age,normal,OMN081,0.02,low,,,,,,,0.13,trend
Electryn Mindmeld,Omens of the Third Age,normal,OMN054,0.02,low,,,,,,,0.08,trend
Elliptical Conflux,Omens of the Third Age,normal,OMN034,0.02,low,,,,,,,0.09,trend
Embodiment of Lightning,Omens of the Third Age,normal,OMN202,0.02,low,,,,,,,0.43,trend
Enion Surge (Blue),Omens of the Third Age,normal,OMN114,0.02,low,,,,,,,0.11,trend
Enion Surge (Red),Omens of the Third Age,normal,OMN112,0.02,low,,,,,,,0.06,trend
Enion Surge (Yellow),Omens of the Third Age,normal,OMN113,0.02,low,,,,,,,0.13,trend
Erode Authority (Blue),Omens of the Third Age,normal,OMN046,0.02,low,,,,,,,0.22,trend
Erode Authority (Red),Omens of the Third Age,normal,OMN044,0.02,low,,,,,,,0.07,trend
Erode Authority (Yellow),Omens of the Third Age,normal,OMN045,0.02,low,,,,,,,0.06,trend
Evasive Nageboshi,Omens of the Third Age,normal,OMN232,0.95,low,,,,,,,1.4,trend
Feral Instinct,Omens of the Third Age,normal,OMN229,0.85,low,,,,,,,2,trend
Fingers of Fragmentation,Omens of the Third Age,normal,OMN039,0.02,low,,,,,,,0.15,trend
Flash Bolt (Blue),Omens of the Third Age,normal,OMN108,0.02,low,,,,,,,0.09,trend
Flash Bolt (Red),Omens of the Third Age,normal,OMN106,0.02,low,,,,,,,0.19,trend
Flash Bolt (Yellow),Omens of the Third Age,normal,OMN107,0.02,low,,,,,,,0.02,trend
Fleeing Starbreeze,Omens of the Third Age,normal,OMN037,0.02,low,,,,,,,0.17,trend
Flicker Reality,Omens of the Third Age,normal,OMN005,1.25,low,,,,,,,1.79,trend
Flittering Forcefield (Blue),Omens of the Third Age,normal,OMN183,0.02,low,,,,,,,0.13,trend
Flittering Forcefield (Red),Omens of the Third Age,normal,OMN181,0.02,low,,,,,,,0.14,trend
Flittering Forcefield (Yellow),Omens of the Third Age,normal,OMN182,0.02,low,,,,,,,0.1,trend
Flittering Spike (Blue),Omens of the Third Age,normal,OMN168,0.02,low,,,,,,,0.13,trend
Flittering Spike (Red),Omens of the Third Age,normal,OMN166,0.02,low,,,,,,,0.2,trend
Flittering Spike (Yellow),Omens of the Third Age,normal,OMN167,0.02,low,,,,,,,0.13,trend
Flow Through,Omens of the Third Age,normal,OMN158,0.02,low,,,,,,,0.14,trend
Flowing Stormstrike,Omens of the Third Age,normal,OMN152,0.02,low,,,,,,,0.24,trend
