# currency: USD
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source
Usurp the Shadow Throne Booster Box,Usurp the Shadow Throne,normal,,,,,,,,,
Usurp the Shadow Throne Booster Box Case,Usurp the Shadow Throne,normal,,,,,,,,,
Usurp the Shadow Throne Booster Pack,Usurp the Shadow Throne,normal,,,,,,,,,
Usurp the Shadow Throne Prerelease Kit,Usurp the Shadow Throne,normal,,,,,,,,,
Armory Deck: Malice,Armory Deck: Malice,normal,,,,,,,,,
Armory Deck: Malice Case,Armory Deck: Malice,normal,,,,,,,,,
Armory Deck: Olympia,Armory Deck: Olympia,normal,,,,,,,,,
Armory Deck: Olympia Case,Armory Deck: Olympia,normal,,,,,,,,,
And Again...,Mastery Pack Warrior,normal,MPW028,,,,,,,,
And Again... (Extended Art),Mastery Pack Warrior,normal,,,,,,,,,
Blade Rush,Mastery Pack Warrior,normal,MPW063,,,,,,,,
Dawnblade (Marvel),Mastery Pack Warrior,normal,,,,,,,,,
"Dawnblade, Resplendent",Mastery Pack Warrior,normal,MPW002,,,,,,,,
"Dorinthea, Quicksilver Prodigy",Mastery Pack Warrior,normal,MPW001,,,,,,,,
Durendal,Mastery Pack Warrior,normal,MPW008,,,,,,,,
Durendal (Marvel),Mastery Pack Warrior,normal,,,,,,,,,
Golden Company (Blue),Mastery Pack Warrior,normal,MPW055,,,,,,,,
Golden Company (Red),Mastery Pack Warrior,normal,MPW053,,,,,,,,
Golden Company (Yellow),Mastery Pack Warrior,normal,MPW054,,,,,,,,
Golden Grail,Mastery Pack Warrior,normal,MPW007,,,,,,,,
Golden Grail (Marvel),Mastery Pack Warrior,normal,,,,,,,,,
Hala,Mastery Pack Warrior,normal,MPW004,,,,,,,,
Hala (Marvel),Mastery Pack Warrior,normal,,,,,,,,,
In the Swing,Mastery Pack Warrior,normal,MPW084,,,,,,,,
Mastery Pack Guardian Booster Pack,Mastery Pack Warrior,normal,,,,,,,,,
Mastery Pack Warrior Booster Box,Mastery Pack Warrior,normal,,,,,,,,,
Mastery Pack Warrior Booster Box Case,Mastery Pack Warrior,normal,,,,,,,,,
Olympia,Mastery Pack Warrior,normal,MPW006,,,,,,,,
Overwhelming Swing,Mastery Pack Warrior,normal,MPW024,,,,,,,,
Raise Blades,Mastery Pack Warrior,normal,MPW032,,,,,,,,
Rake Back,Mastery Pack Warrior,normal,MPW033,,,,,,,,
Run Through (Blue),Mastery Pack Warrior,normal,MPW050,,,,,,,,
Run Through (Red),Mastery Pack Warrior,normal,MPW048,,,,,,,,
Run Through (Yellow),Mastery Pack Warrior,normal,MPW049,,,,,,,,
Sharpening Sparks,Mastery Pack Warrior,normal,MPW026,,,,,,,,
Shove Off,Mastery Pack Warrior,normal,MPW052,,,,,,,,
Stand Tall,Mastery Pack Warrior,normal,MPW037,,,,,,,,
Steel on Steel (Blue),Mastery Pack Warrior,normal,MPW098,,,,,,,,
Steel on Steel (Red),Mastery Pack Warrior,normal,MPW096,,,,,,,,
Steel on Steel (Yellow),Mastery Pack Warrior,normal,MPW097,,,,,,,,
Trot Along,Mastery Pack Warrior,normal,MPW153,,,,,,,,
Valiant Dynamo,Mastery Pack Warrior,normal,,,,,,,,,
Warrior's Valor,Mastery Pack Warrior,normal,MPW072,,,0.5,listing,,,,
Zenith Blade,Mastery Pack Warrior,normal,MPW005,,,,,,,,
Zenith Blade (Marvel),Mastery Pack Warrior,normal,,,,,,,,,
Alpha Instinct (Blue),Gem Pack 5,foil,,40.98,listing,,,,,,
Aphrodias,Gem Pack 5,foil,,22,listing,,,,,,
Beckoning Brilliance (Red),Gem Pack 5,normal,,1.97,listing,,,,,,
Beckoning Brilliance (Red),Gem Pack 5,foil,,3.93,listing,,,,,,
Beneath the Surface (Yellow),Gem Pack 5,normal,,6.74,listing,14.5,listing,,,,
Beneath the Surface (Yellow),Gem Pack 5,foil,,10.01,listing,20,listing,,,,
Brimming Blade (Red),Gem Pack 5,foil,,24,listing,,,,,,
Conflicting Thoughts (Red),Gem Pack 5,normal,,1.98,listing,,,,,,
Conflicting Thoughts (Red),Gem Pack 5,foil,,9.98,listing,,,,,,
Constella Contemplation (Yellow),Gem Pack 5,normal,,6,listing,,,,,,
Constella Contemplation (Yellow),Gem Pack 5,foil,,8.99,listing,,,,,,
Constella Flowslide (Yellow),Gem Pack 5,normal,,4.47,listing,,,,,,
Constella Flowslide (Yellow),Gem Pack 5,foil,,6.75,listing,,,,,,
Constella Uplift (Yellow),Gem Pack 5,normal,,2,listing,,,,,,
Constella Uplift (Yellow),Gem Pack 5,foil,,6.75,listing,9,listing,,,,
Creep (Red),Gem Pack 5,normal,,3.08,listing,,,,,,
Creep (Red),Gem Pack 5,foil,,9.5,listing,,,,,,
Dash I/O (Marvel),Gem Pack 5,foil,,63.67,listing,75,listing,,,,
Dyadic Carapace,Gem Pack 5,foil,,57,listing,60,listing,,,,
Ebbing Arcstride (Red),Gem Pack 5,normal,,6.05,listing,7,listing,,,,
Ebbing Arcstride (Red),Gem Pack 5,foil,,4.22,listing,,,,,,
Electrolyze (Red),Gem Pack 5,normal,,3.49,listing,,,,,,
Electrolyze (Red),Gem Pack 5,foil,,4,listing,,,,,,
Electryn Joltstep (Red),Gem Pack 5,normal,,3.75,listing,5,listing,,,,
Electryn Joltstep (Red),Gem Pack 5,foil,,9.98,listing,,,,,,
Energy of the Audience (Yellow),Gem Pack 5,normal,,1.89,listing,,,,,,
Energy of the Audience (Yellow),Gem Pack 5,foil,,3.24,listing,10,listing,,,,
Flittering Forcefield (Red),Gem Pack 5,normal,,2.5,listing,6,listing,,,,
Flittering Forcefield (Red),Gem Pack 5,foil,,8.5,listing,,,,,,
Flourish (Yellow),Gem Pack 5,normal,,3.67,listing,,,,,,
Flourish (Yellow),Gem Pack 5,foil,,3.28,listing,,,,,,
Flowshard Elemental (Red),Gem Pack 5,normal,,2.88,listing,,,,,,
Flowshard Elemental (Red),Gem Pack 5,foil,,3,listing,8.89,listing,,,,
Lighten the Load (Red),Gem Pack 5,normal,,3.97,listing,,,3,listing,,
Lighten the Load (Red),Gem Pack 5,foil,,5.49,listing,8.5,listing,,,,
Lionclaw Maul,Gem Pack 5,foil,,49.5,listing,,,,,,
Path of Same Ends (Red),Gem Pack 5,normal,,3.71,listing,,,,,,
Path of Same Ends (Red),Gem Pack 5,foil,,14.99,listing,,,,,,
Pile Driver,Gem Pack 5,foil,,39.99,listing,,,,,,
Pulsing Cardia (Red),Gem Pack 5,normal,,0.99,listing,,,,,,
Pulsing Cardia (Red),Gem Pack 5,foil,,3.59,listing,,,,,,
Run Roughshod (Blue),Gem Pack 5,normal,,4.87,listing,6,listing,,,,
Run Roughshod (Blue),Gem Pack 5,foil,,11.99,listing,,,,,,
Runechant of Envy (Yellow),Gem Pack 5,foil,,32,listing,,,,,,
Runechant of Gluttony (Yellow),Gem Pack 5,foil,,33.99,listing,,,,,,
Runechant of Greed (Yellow),Gem Pack 5,foil,,38.5,listing,,,,,,
Runechant of Lust (Yellow),Gem Pack 5,foil,,39.99,listing,,,,,,
Runechant of Pride (Yellow),Gem Pack 5,foil,,24.98,listing,,,,,,
Runechant of Sloth (Yellow),Gem Pack 5,foil,,30,listing,,,,,,
Runechant of Wrath (Yellow),Gem Pack 5,foil,,23.5,listing,,,,,,
"Scorpio, Comet Tail",Gem Pack 5,foil,,33.5,listing,34.99,listing,,,,
Seek Vengeance (Red),Gem Pack 5,normal,,4.49,listing,,,,,,
Seek Vengeance (Red),Gem Pack 5,foil,,23.5,listing,,,,,,
