# ratio: cardmarket / tcgplayer
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Aphrodias,Omens of the Third Age,normal,OMN003,-89.5%,low/listing,,,,,,
Arc Ramp (Red),Omens of the Third Age,normal,OMN100,-84.6%,low/listing,,,,,,
Arc Ramp (Yellow),Omens of the Third Age,normal,OMN101,-80.0%,low/listing,,,,,,
Arcanic Cunning (Blue),Omens of the Third Age,normal,OMN090,-84.6%,low/listing,,,,,,
Arcanic Cunning (Red),Omens of the Third Age,normal,OMN088,-86.7%,low/listing,,,,,,
Arcanic Cunning (Yellow),Omens of the Third Age,normal,OMN089,-85.7%,low/listing,,,,,,
Arcanic Reproach,Omens of the Third Age,normal,OMN052,+64.5%,low/listing,,,,,,
Astral Assault (Blue),Omens of the Third Age,normal,OMN162,-85.7%,low/listing,,,,,,
Astral Assault (Red),Omens of the Third Age,normal,OMN160,-81.8%,low/listing,,,,,,
Astral Assault (Yellow),Omens of the Third Age,normal,OMN161,-85.7%,low/listing,,,,,,
Astral Bridge,Omens of the Third Age,normal,OMN098,-67.1%,low/listing,,,,,,
Astral Strike,Omens of the Third Age,normal,OMN145,+17.2%,low/listing,,,,,,
Auric Shards (Blue),Omens of the Third Age,normal,OMN029,-81.8%,low/listing,,,,,,
Auric Shards (Red),Omens of the Third Age,normal,OMN027,-85.7%,low/listing,,,,,,
Auric Shards (Yellow),Omens of the Third Age,normal,OMN028,-85.7%,low/listing,,,,,,
"Aurora, Emissary of Lightning",Omens of the Third Age,normal,OMN048,-89.5%,low/listing,,,,,,
"Aurora, Legacy of Tempest",Omens of the Third Age,normal,OMN047,-90.0%,low/listing,,,,,,
Beckoning Brilliance,Omens of the Third Age,normal,OMN148,-77.8%,low/listing,,,,,,
Blink of an Eye,Omens of the Third Age,normal,OMN006,-86.7%,low/listing,,,,,,
Boots of Astral Sanctuary,Omens of the Third Age,normal,OMN212,-80.0%,low/listing,,,,,,
Brush Off (Blue),Omens of the Third Age,normal,OMN224,-80.0%,low/listing,,,,,,
Brush Off (Red),Omens of the Third Age,normal,OMN222,-86.7%,low/listing,,,,,,
Brush Off (Yellow),Omens of the Third Age,normal,OMN223,-80.0%,low/listing,,,,,,
Calmveil of Volthaven (Blue),Omens of the Third Age,normal,OMN186,-85.7%,low/listing,,,,,,
Calmveil of Volthaven (Red),Omens of the Third Age,normal,OMN184,-81.8%,low/listing,,,,,,
Calmveil of Volthaven (Yellow),Omens of the Third Age,normal,OMN185,-80.0%,low/listing,,,,,,
Caress of the Reaper,Omens of the Third Age,normal,OMN087,+95.1%,low/listing,,,,,,
Chromatic Refinement (Blue),Omens of the Third Age,normal,OMN195,-85.7%,low/listing,,,,,,
Chromatic Refinement (Red),Omens of the Third Age,normal,OMN193,-86.7%,low/listing,,,,,,
Chromatic Refinement (Yellow),Omens of the Third Age,normal,OMN194,-85.7%,low/listing,,,,,,
Circular Flowtide,Omens of the Third Age,normal,OMN033,-84.6%,low/listing,,,,,,
Clear Conscience (Blue),Omens of the Third Age,normal,OMN043,-85.7%,low/listing,,,,,,
Clear Conscience (Red),Omens of the Third Age,normal,OMN041,-85.7%,low/listing,,,,,,
Clear Conscience (Yellow),Omens of the Third Age,normal,OMN042,-85.7%,low/listing,,,,,,
Comet Collision (Blue),Omens of the Third Age,normal,OMN111,-80.0%,low/listing,,,,,,
Comet Collision (Red),Omens of the Third Age,normal,OMN109,-85.7%,low/listing,,,,,,
Comet Collision (Yellow),Omens of the Third Age,normal,OMN110,-80.0%,low/listing,,,,,,
Conflicting Thoughts (Blue),Omens of the Third Age,normal,OMN221,-85.7%,low/listing,,,,,,
Conflicting Thoughts (Red),Omens of the Third Age,normal,OMN219,-85.7%,low/listing,,,,,,
Conflicting Thoughts (Yellow),Omens of the Third Age,normal,OMN220,-85.7%,low/listing,,,,,,
Constella Tiara,Omens of the Third Age,normal,OMN142,-85.7%,low/listing,,,,,,
Constella Waves,Omens of the Third Age,normal,OMN097,-85.7%,low/listing,,,,,,
Core Reaction (Blue),Omens of the Third Age,normal,OMN105,-85.7%,low/listing,,,,,,
Core Reaction (Red),Omens of the Third Age,normal,OMN103,-86.7%,low/listing,,,,,,
Core Reaction (Yellow),Omens of the Third Age,normal,OMN104,-84.6%,low/listing,,,,,,
Corrosive Space Dust (Blue),Omens of the Third Age,normal,OMN014,-86.7%,low/listing,,,,,,
Corrosive Space Dust (Red),Omens of the Third Age,normal,OMN012,-86.7%,low/listing,,,,,,
Corrosive Space Dust (Yellow),Omens of the Third Age,normal,OMN013,-84.6%,low/listing,,,,,,
Cosmic Duality (Blue),Omens of the Third Age,normal,OMN017,-81.8%,low/listing,,,,,,
Cosmic Duality (Red),Omens of the Third Age,normal,OMN015,-85.7%,low/listing,,,,,,
Cosmic Duality (Yellow),Omens of the Third Age,normal,OMN016,-85.7%,low/listing,,,,,,
Cosmic Suture (Blue),Omens of the Third Age,normal,OMN129,-86.7%,low/listing,,,,,,
Cosmic Suture (Red),Omens of the Third Age,normal,OMN127,-86.7%,low/listing,,,,,,
Cosmic Suture (Yellow),Omens of the Third Age,normal,OMN128,-86.7%,low/listing,,,,,,
Crackle from Afar,Omens of the Third Age,normal,OMN036,-85.7%,low/listing,,,,,,
Crash Site Salvage,Omens of the Third Age,normal,OMN239,-42.6%,low/listing,,,,,,
Dashing Flashfoot,Omens of the Third Age,normal,OMN053,-86.7%,low/listing,,,,,,
Destructive Fleetfoot (Blue),Omens of the Third Age,normal,OMN064,-85.7%,low/listing,,,,,,
Destructive Fleetfoot (Red),Omens of the Third Age,normal,OMN062,-85.7%,low/listing,,,,,,
Destructive Fleetfoot (Yellow),Omens of the Third Age,normal,OMN063,-80.0%,low/listing,,,,,,
Ebbing Arcstride (Blue),Omens of the Third Age,normal,OMN020,-80.0%,low/listing,,,,,,
Ebbing Arcstride (Red),Omens of the Third Age,normal,OMN018,-85.7%,low/listing,,,,,,
Ebbing Arcstride (Yellow),Omens of the Third Age,normal,OMN019,-85.7%,low/listing,,,,,,
Echoflash,Omens of the Third Age,normal,OMN099,-34.0%,low/listing,,,,,,
Electrolyze (Blue),Omens of the Third Age,normal,OMN165,-80.0%,low/listing,,,,,,
Electrolyze (Red),Omens of the Third Age,normal,OMN163,-85.7%,low/listing,,,,,,
