# ratio: tcgplayer / cardmarket
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Aphrodias,Omens of the Third Age,normal,OMN003,+850.0%,listing/low,,,,,,
Arc Ramp (Red),Omens of the Third Age,normal,OMN100,+550.0%,listing/low,,,,,,
Arc Ramp (Yellow),Omens of the Third Age,normal,OMN101,+400.0%,listing/low,,,,,,
Arcanic Cunning (Blue),Omens of the Third Age,normal,OMN090,+550.0%,listing/low,,,,,,
Arcanic Cunning (Red),Omens of the Third Age,normal,OMN088,+650.0%,listing/low,,,,,,
Arcanic Cunning (Yellow),Omens of the Third Age,normal,OMN089,+600.0%,listing/low,,,,,,
Arcanic Reproach,Omens of the Third Age,normal,OMN052,-39.2%,listing/low,,,,,,
Astral Assault (Blue),Omens of the Third Age,normal,OMN162,+600.0%,listing/low,,,,,,
Astral Assault (Red),Omens of the Third Age,normal,OMN160,+450.0%,listing/low,,,,,,
Astral Assault (Yellow),Omens of the Third Age,normal,OMN161,+600.0%,listing/low,,,,,,
Astral Bridge,Omens of the Third Age,normal,OMN098,+204.4%,listing/low,,,,,,
Astral Strike,Omens of the Third Age,normal,OMN145,-14.7%,listing/low,,,,,,
Auric Shards (Blue),Omens of the Third Age,normal,OMN029,+450.0%,listing/low,,,,,,
Auric Shards (Red),Omens of the Third Age,normal,OMN027,+600.0%,listing/low,,,,,,
Auric Shards (Yellow),Omens of the Third Age,normal,OMN028,+600.0%,listing/low,,,,,,
"Aurora, Emissary of Lightning",Omens of the Third Age,normal,OMN048,+850.0%,listing/low,,,,,,
"Aurora, Legacy of Tempest",Omens of the Third Age,normal,OMN047,+900.0%,listing/low,,,,,,
Beckoning Brilliance,Omens of the Third Age,normal,OMN148,+350.0%,listing/low,,,,,,
Blink of an Eye,Omens of the Third Age,normal,OMN006,+650.0%,listing/low,,,,,,
Boots of Astral Sanctuary,Omens of the Third Age,normal,OMN212,+400.0%,listing/low,,,,,,
Brush Off (Blue),Omens of the Third Age,normal,OMN224,+400.0%,listing/low,,,,,,
Brush Off (Red),Omens of the Third Age,normal,OMN222,+650.0%,listing/low,,,,,,
Brush Off (Yellow),Omens of the Third Age,normal,OMN223,+400.0%,listing/low,,,,,,
Calmveil of Volthaven (Blue),Omens of the Third Age,normal,OMN186,+600.0%,listing/low,,,,,,
Calmveil of Volthaven (Red),Omens of the Third Age,normal,OMN184,+450.0%,listing/low,,,,,,
Calmveil of Volthaven (Yellow),Omens of the Third Age,normal,OMN185,+400.0%,listing/low,,,,,,
Caress of the Reaper,Omens of the Third Age,normal,OMN087,-48.8%,listing/low,,,,,,
Chromatic Refinement (Blue),Omens of the Third Age,normal,OMN195,+600.0%,listing/low,,,,,,
Chromatic Refinement (Red),Omens of the Third Age,normal,OMN193,+650.0%,listing/low,,,,,,
Chromatic Refinement (Yellow),Omens of the Third Age,normal,OMN194,+600.0%,listing/low,,,,,,
Circular Flowtide,Omens of the Third Age,normal,OMN033,+550.0%,listing/low,,,,,,
Clear Conscience (Blue),Omens of the Third Age,normal,OMN043,+600.0%,listing/low,,,,,,
Clear Conscience (Red),Omens of the Third Age,normal,OMN041,+600.0%,listing/low,,,,,,
Clear Conscience (Yellow),Omens of the Third Age,normal,OMN042,+600.0%,listing/low,,,,,,
Comet Collision (Blue),Omens of the Third Age,normal,OMN111,+400.0%,listing/low,,,,,,
Comet Collision (Red),Omens of the Third Age,normal,OMN109,+600.0%,listing/low,,,,,,
Comet Collision (Yellow),Omens of the Third Age,normal,OMN110,+400.0%,listing/low,,,,,,
Conflicting Thoughts (Blue),Omens of the Third Age,normal,OMN221,+600.0%,listing/low,,,,,,
Conflicting Thoughts (Red),Omens of the Third Age,normal,OMN219,+600.0%,listing/low,,,,,,
Conflicting Thoughts (Yellow),Omens of the Third Age,normal,OMN220,+600.0%,listing/low,,,,,,
Constella Tiara,Omens of the Third Age,normal,OMN142,+600.0%,listing/low,,,,,,
Constella Waves,Omens of the Third Age,normal,OMN097,+600.0%,listing/low,,,,,,
Core Reaction (Blue),Omens of the Third Age,normal,OMN105,+600.0%,listing/low,,,,,,
Core Reaction (Red),Omens of the Third Age,normal,OMN103,+650.0%,listing/low,,,,,,
Core Reaction (Yellow),Omens of the Third Age,normal,OMN104,+550.0%,listing/low,,,,,,
Corrosive Space Dust (Blue),Omens of the Third Age,normal,OMN014,+650.0%,listing/low,,,,,,
Corrosive Space Dust (Red),Omens of the Third Age,normal,OMN012,+650.0%,listing/low,,,,,,
Corrosive Space Dust (Yellow),Omens of the Third Age,normal,OMN013,+550.0%,listing/low,,,,,,
Cosmic Duality (Blue),Omens of the Third Age,normal,OMN017,+450.0%,listing/low,,,,,,
Cosmic Duality (Red),Omens of the Third Age,normal,OMN015,+600.0%,listing/low,,,,,,
Cosmic Duality (Yellow),Omens of the Third Age,normal,OMN016,+600.0%,listing/low,,,,,,
Cosmic Suture (Blue),Omens of the Third Age,normal,OMN129,+650.0%,listing/low,,,,,,
