Provider,Name,Set,Finish,Code,Reason
tcgplayer,Usurp the Shadow Throne Booster Pack,Usurp the Shadow Throne,normal,,no-price
tcgplayer,Usurp the Shadow Throne Booster Box,Usurp the Shadow Throne,normal,,no-price
tcgplayer,Usurp the Shadow Throne Booster Box Case,Usurp the Shadow Throne,normal,,no-price
tcgplayer,Usurp the Shadow Throne Prerelease Kit,Usurp the Shadow Throne,normal,,no-price
tcgplayer,Armory Deck: Malice,Armory Deck: Malice,normal,,no-price
tcgplayer,Armory Deck: Malice Case,Armory Deck: Malice,normal,,no-price
tcgplayer,Armory Deck: Olympia,Armory Deck: Olympia,normal,,no-price
tcgplayer,Armory Deck: Olympia Case,Armory Deck: Olympia,normal,,no-price
tcgplayer,"Dorinthea, Quicksilver Prodigy",Mastery Pack Warrior,normal,MPW001,no-price
tcgplayer,"Dawnblade, Resplendent",Mastery Pack Warrior,normal,MPW002,no-price
tcgplayer,Hala,Mastery Pack Warrior,normal,MPW004,no-price
tcgplayer,Hala (Marvel),Mastery Pack Warrior,normal,,no-price
tcgplayer,Zenith Blade,Mastery Pack Warrior,normal,MPW005,no-price
tcgplayer,Zenith Blade (Marvel),Mastery Pack Warrior,normal,,no-price
tcgplayer,Olympia,Mastery Pack Warrior,normal,MPW006,no-price
tcgplayer,Golden Grail,Mastery Pack Warrior,normal,MPW007,no-price
tcgplayer,Golden Grail (Marvel),Mastery Pack Warrior,normal,,no-price
tcgplayer,Valiant Dynamo,Mastery Pack Warrior,normal,,no-price
tcgplayer,Sharpening Sparks,Mastery Pack Warrior,normal,MPW026,no-price
tcgplayer,Stand Tall,Mastery Pack Warrior,normal,MPW037,no-price
tcgplayer,Run Through (Red),Mastery Pack Warrior,normal,MPW048,no-price
tcgplayer,Run Through (Yellow),Mastery Pack Warrior,normal,MPW049,no-price
tcgplayer,Run Through (Blue),Mastery Pack Warrior,normal,MPW050,no-price
tcgplayer,Shove Off,Mastery Pack Warrior,normal,MPW052,no-price
tcgplayer,Golden Company (Red),Mastery Pack Warrior,normal,MPW053,no-price
tcgplayer,Golden Company (Yellow),Mastery Pack Warrior,normal,MPW054,no-price
tcgplayer,Golden Company (Blue),Mastery Pack Warrior,normal,MPW055,no-price
tcgplayer,Blade Rush,Mastery Pack Warrior,normal,MPW063,no-price
tcgplayer,Warrior's Valor,Mastery Pack Warrior,normal,MPW072,no-counterpart
tcgplayer,In the Swing,Mastery Pack Warrior,normal,MPW084,no-price
tcgplayer,Steel on Steel (Red),Mastery Pack Warrior,normal,MPW096,no-price
tcgplayer,Steel on Steel (Yellow),Mastery Pack Warrior,normal,MPW097,no-price
tcgplayer,Steel on Steel (Blue),Mastery Pack Warrior,normal,MPW098,no-price
tcgplayer,Trot Along,Mastery Pack Warrior,normal,MPW153,no-price
tcgplayer,Dawnblade (Marvel),Mastery Pack Warrior,normal,,no-price
tcgplayer,Mastery Pack Warrior Booster Box,Mastery Pack Warrior,normal,,no-price
tcgplayer,Mastery Pack Guardian Booster Pack,Mastery Pack Warrior,normal,,no-price
tcgplayer,Mastery Pack Warrior Booster Box Case,Mastery Pack Warrior,normal,,no-price
tcgplayer,Overwhelming Swing,Mastery Pack Warrior,normal,MPW024,no-price
tcgplayer,Raise Blades,Mastery Pack Warrior,normal,MPW032,no-price
tcgplayer,Rake Back,Mastery Pack Warrior,normal,MPW033,no-price
tcgplayer,Durendal,Mastery Pack Warrior,normal,MPW008,no-price
tcgplayer,Durendal (Marvel),Mastery Pack Warrior,normal,,no-price
tcgplayer,And Again...,Mastery Pack Warrior,normal,MPW028,no-price
tcgplayer,And Again... (Extended Art),Mastery Pack Warrior,normal,,no-price
tcgplayer,Dash I/O (Marvel),Gem Pack 5,foil,,no-counterpart
tcgplayer,Aphrodias,Gem Pack 5,foil,,no-counterpart
tcgplayer,"Scorpio, Comet Tail",Gem Pack 5,foil,,no-counterpart
tcgplayer,"Volzar, Meteor Storm",Gem Pack 5,foil,,no-counterpart
tcgplayer,Lionclaw Maul,Gem Pack 5,foil,,no-counterpart
tcgplayer,Pile Driver,Gem Pack 5,foil,,no-counterpart
tcgplayer,Teklo Pounder (Blue),Gem Pack 5,foil,,no-counterpart
tcgplayer,Stardust Spike (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Dyadic Carapace,Gem Pack 5,foil,,no-counterpart
tcgplayer,Ebbing Arcstride (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Ebbing Arcstride (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Pulsing Cardia (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Pulsing Cardia (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Shattering Flowtide (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Shattering Flowtide (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Stinging Sprite (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Stinging Sprite (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Electryn Joltstep (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Electryn Joltstep (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Path of Same Ends (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Path of Same Ends (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Constella Contemplation (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Constella Contemplation (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Constella Flowslide (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Constella Flowslide (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Constella Uplift (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Constella Uplift (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Energy of the Audience (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Energy of the Audience (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Creep (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Creep (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Alpha Instinct (Blue),Gem Pack 5,foil,,no-counterpart
tcgplayer,Run Roughshod (Blue),Gem Pack 5,normal,,no-counterpart
tcgplayer,Run Roughshod (Blue),Gem Pack 5,foil,,no-counterpart
tcgplayer,Seek Vengeance (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Seek Vengeance (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Brimming Blade (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Toe the Line (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Toe the Line (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Speed Demon (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Speed Demon (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Beneath the Surface (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Beneath the Surface (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Lighten the Load (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Lighten the Load (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Flourish (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Flourish (Yellow),Gem Pack 5,normal,,no-counterpart
tcgplayer,Beckoning Brilliance (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Beckoning Brilliance (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Electrolyze (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Electrolyze (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Flowshard Elemental (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Flowshard Elemental (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Flittering Forcefield (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Flittering Forcefield (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Starlight Road (Blue),Gem Pack 5,foil,,no-counterpart
tcgplayer,Starlight Road (Blue),Gem Pack 5,normal,,no-counterpart
tcgplayer,Conflicting Thoughts (Red),Gem Pack 5,normal,,no-counterpart
tcgplayer,Conflicting Thoughts (Red),Gem Pack 5,foil,,no-counterpart
tcgplayer,Toughen Up (Blue),Gem Pack 5,normal,,no-counterpart
tcgplayer,Toughen Up (Blue),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Greed (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Envy (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Gluttony (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Lust (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Pride (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Sloth (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Runechant of Wrath (Yellow),Gem Pack 5,foil,,no-counterpart
tcgplayer,Omens of the Third Age Booster Pack,Omens of the Third Age,normal,,no-price
tcgplayer,Omens of the Third Age Booster Box,Omens of the Third Age,normal,,no-price
tcgplayer,Omens of the Third Age Booster Box Case,Omens of the Third Age,normal,,no-price
tcgplayer,Omens of the Third Age Prerelease Kit,Omens of the Third Age,normal,,no-price
